Birth Date (Medallists.Csv),Code (Medallists.Csv),Country (Medallists.Csv),Country Code (Medallists.Csv),Discipline,Event,Gender (Medallists.Csv),Medal Code,Medal Date,Medal Type,Name (Medallists.Csv),Number of Female Medallists,Number of Male Medallists
25-Jan-00,1903136,Belgium,BEL,Cycling Road,Men's Individual Time Trial,Male,1,,Gold ,EVENEPOEL Remco,0,1
25-Jul-96,1923520,Italy,ITA,Cycling Road,Men's Individual Time Trial,Male,2,,Silver ,GANNA Filippo,0,1
15-Sep-94,1903147,Belgium,BEL,Cycling Road,Men's Individual Time Trial,Male,3,,Bronze ,van AERT Wout,0,1
07-Jul-92,1940173,Australia,AUS,Cycling Road,Women's Individual Time Trial,Female,1,,Gold ,BROWN Grace,1,0
14-Nov-98,1912525,Great Britain,GBR,Cycling Road,Women's Individual Time Trial,Female,2,,Silver ,HENDERSON Anna,1,0
01-Jan-97,1955079,United States,USA,Cycling Road,Women's Individual Time Trial,Female,3,,Bronze ,DYGERT Chloe,1,0
30-Sep-96,1927149,Korea,KOR,Fencing,Men's Sabre Individual,Male,1,,Gold ,OH Sanguk,0,1
22-Jul-97,1937783,Tunisia,TUN,Fencing,Men's Sabre Individual,Male,2,,Silver ,FERJANI Fares,0,1
25-Jul-87,1924595,Italy,ITA,Fencing,Men's Sabre Individual,Male,3,,Bronze ,SAMELE Luigi,0,1
08-Feb-94,1963262,"Hong Kong, China",HKG,Fencing,Women's Épée Individual,Female,1,,Gold ,KONG Man Wai Vivian,1,0
11-Oct-93,1916183,France,FRA,Fencing,Women's Épée Individual,Female,2,,Silver ,MALLO-BRETON Auriane,1,0
30-Sep-02,1946375,Hungary,HUN,Fencing,Women's Épée Individual,Female,3,,Bronze ,MUHARI Eszter,1,0
09-Sep-92,1935408,Kazakhstan,KAZ,Judo,Men -60 kg,Male,1,,Gold ,SMETOV Yeldos,0,1
05-Jan-96,1891304,France,FRA,Judo,Men -60 kg,Male,2,,Silver ,MKHEIDZE Luka,0,1
15-Apr-96,1896752,Japan,JPN,Judo,Men -60 kg,Male,3,,Bronze ,NAGAYAMA Ryuju,0,1
09-Dec-94,1563544,Spain,ESP,Judo,Men -60 kg,Male,3,,Bronze ,GARRIGOS Francisco,0,1
06-Aug-92,1896735,Japan,JPN,Judo,Women -48 kg,Female,1,,Gold ,TSUNODA Natsumi,1,0
26-Nov-99,1914467,Mongolia,MGL,Judo,Women -48 kg,Female,2,,Silver ,BAVUUDORJ Baasankhuu,1,0
24-Jan-99,1891280,France,FRA,Judo,Women -48 kg,Female,3,,Bronze ,BOUKLI Shirine,1,0
03-Jan-06,1571911,Sweden,SWE,Judo,Women -48 kg,Female,3,,Bronze ,BABULFATH Tara,1,0
27-Dec-01,1907192,Germany,GER,Swimming,Men's 400m Freestyle,Male,1,,Gold ,MAERTENS Lukas,0,1
05-May-00,1946172,Australia,AUS,Swimming,Men's 400m Freestyle,Male,2,,Silver ,WINNINGTON Elijah,0,1
24-Aug-01,4654306,Korea,KOR,Swimming,Men's 400m Freestyle,Male,3,,Bronze ,KIM Woomin,0,1
07-Sep-00,1946150,Australia,AUS,Swimming,Women's 400m Freestyle,Female,1,,Gold ,TITMUS Ariarne,1,0
18-Aug-06,1967140,Canada,CAN,Swimming,Women's 400m Freestyle,Female,2,,Silver ,McINTOSH Summer,1,0
17-Mar-97,1935938,United States,USA,Swimming,Women's 400m Freestyle,Female,3,,Bronze ,LEDECKY Katie,1,0
11-Jun-94,1940205,Australia,AUS,Canoe Slalom,Women's Kayak Single,Female,1,,Gold ,FOX Jessica,1,0
18-Dec-98,1942126,Poland,POL,Canoe Slalom,Women's Kayak Single,Female,2,,Silver ,ZWOLINSKA Klaudia,1,0
08-Sep-95,1896045,Great Britain,GBR,Canoe Slalom,Women's Kayak Single,Female,3,,Bronze ,WOODS Kimberley,1,0
10-Feb-92,1895672,France,FRA,Cycling Mountain Bike,Women's Cross-country,Female,1,,Gold ,FERRAND PREVOT Pauline,1,0
19-Sep-98,1955070,United States,USA,Cycling Mountain Bike,Women's Cross-country,Female,2,,Silver ,BATTEN Haley,1,0
06-Jun-94,1564023,Sweden,SWE,Cycling Mountain Bike,Women's Cross-country,Female,3,,Bronze ,RISSVEDS Jenny,1,0
19-Dec-97,1896548,Japan,JPN,Fencing,Men's Épée Individual,Male,1,,Gold ,KANO Koki,0,1
05-Nov-88,1916194,France,FRA,Fencing,Men's Épée Individual,Male,2,,Silver ,BOREL Yannick,0,1
03-Mar-03,1936462,Egypt,EGY,Fencing,Men's Épée Individual,Male,3,,Bronze ,ELSAYED Mohamed,0,1
15-Jun-94,1950611,United States,USA,Fencing,Women's Foil Individual,Female,1,,Gold ,KIEFER Lee,1,0
27-Jan-03,1950643,United States,USA,Fencing,Women's Foil Individual,Female,2,,Silver ,SCRUGGS Lauren,1,0
14-Jan-95,1973213,Canada,CAN,Fencing,Women's Foil Individual,Female,3,,Bronze ,HARVEY Eleanor,1,0
09-Aug-97,1896763,Japan,JPN,Judo,Men -66 kg,Male,1,,Gold ,ABE Hifumi,0,1
31-Jan-00,1953840,Brazil,BRA,Judo,Men -66 kg,Male,2,,Silver ,LIMA Willian,0,1
28-Sep-92,1935410,Kazakhstan,KAZ,Judo,Men -66 kg,Male,3,,Bronze ,KYRGYZBAYEV Gusman,0,1
