Age Group,Birth Date,Code,Countries,Country,Country Code,Disciplines,Events,Function,Gender,Name,Age,Number of Female Athletes,Number of Male Athletes
31-35,21-Oct-91,1532872,Armenia,Armenia,ARM,Wrestling,Men's Greco-Roman 97kg,Athlete,Male,ALEKSANYAN Artur,33,0,1
25-30,22-Jan-99,1532873,Armenia,Armenia,ARM,Wrestling,Men's Greco-Roman 77kg,Athlete,Male,AMOYAN Malkhas,25,0,1
25-30,21-Dec-96,1532874,Armenia,Armenia,ARM,Wrestling,Men's Greco-Roman 67kg,Athlete,Male,GALSTYAN Slavik,28,0,1
25-30,22-Nov-99,1532944,Armenia,Armenia,ARM,Wrestling,Men's Freestyle 57kg,Athlete,Male,HARUTYUNYAN Arsen,25,0,1
25-30,27-Oct-99,1532945,Armenia,Armenia,ARM,Wrestling,Men's Freestyle 65kg,Athlete,Male,TEVANYAN Vazgen,25,0,1
31-35,17-Sep-93,1532951,Colombia,Colombia,COL,Athletics,"Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed",Athlete,Female,ARENAS Lorena,31,1,0
31-35,17-Jul-89,1533112,Jamaica,Jamaica,JAM,Judo,Men -60 kg,Athlete,Male,McKENZIE Ashley,35,0,1
25-30,03-May-95,1533136,Gambia,Gambia,GAM,Athletics,"Women's 100m"", ""Women's 200m",Athlete,Female,BASS BITTAYE Gina Mariam,29,1,0
25-30,18-Sep-96,1533176,Gambia,Gambia,GAM,Athletics,Men's 100m,Athlete,Male,CAMARA Ebrahima,28,0,1
25-30,07-Mar-94,1533188,Mexico,Mexico,MEX,Triathlon,Women's Individual,Athlete,Female,RUEDA SANTOS Lizeth,30,1,0
25-30,27-Aug-97,1533189,Mexico,Mexico,MEX,Triathlon,Women's Individual,Athlete,Female,TAPIA VIDAL Rosa Maria,27,1,0
36-40,06-May-87,1533190,Mexico,Mexico,MEX,Triathlon,Men's Individual,Athlete,Male,GRAJALES Crisanto,37,0,1
25-30,13-Feb-97,1533208,Comoros,Comoros,COM,Athletics,Men's 100m,Athlete,Male,MAAROUFOU Hachim,27,0,1
< 18,16-Jan-07,1533209,Comoros,Comoros,COM,Swimming,Women's 50m Freestyle,Athlete,Female,SAADI Maesha,17,1,0
31-35,22-Aug-90,1533230,Mexico,Mexico,MEX,Artistic Swimming,"Team', 'Duet",Athlete,Female,DIOSDADO Nuria,34,1,0
31-35,19-Aug-93,1533231,Mexico,Mexico,MEX,Artistic Swimming,"Team', 'Duet",Athlete,Female,JIMENEZ Joana,31,1,0
25-30,26-May-94,1533232,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,SOBRINO Jessica,30,1,0
25-30,01-Dec-97,1533234,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,ALFEREZ Regina,27,1,0
18-24,28-Feb-02,1533235,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,ARELLANO Fernanda,22,1,0
18-24,13-Jan-00,1533237,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,TOSCANO Pamela,24,1,0
18-24,14-Nov-03,1533239,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,GONZALEZ Itzamary,21,1,0
25-30,05-Dec-94,1533240,Mexico,Mexico,MEX,Artistic Swimming,Team,Athlete,Female,RODRIGUEZ Samanta,30,1,0
18-24,12-Mar-00,1533243,Mexico,Mexico,MEX,Artistic Swimming,Team,Alternate Athlete,Female,INZUNZA Glenda,24,1,0
25-30,08-Mar-96,1533245,Iraq,Iraq,IRQ,Judo,Men -81 kg,Athlete,Male,SEHEN Sajjad,28,0,1
18-24,02-Aug-04,1533359,Iraq,Iraq,IRQ,Weightlifting,Men's +102kg,Athlete,Male,RUBAIAWI Ali Ammar Yusur,20,0,1
25-30,01-Jan-97,1533364,Djibouti,Djibouti,DJI,Athletics,Men's 5000m,Athlete,Male,ISMAIL Mohamed,27,0,1
25-30,01-Jan-97,1533371,Djibouti,Djibouti,DJI,Athletics,Men's Marathon,Athlete,Male,HASSAN Ibrahim,27,0,1
25-30,03-Jul-96,1533372,Djibouti,Djibouti,DJI,Athletics,Men's 5000m,Athlete,Male,WAISS Abdi,28,0,1
25-30,05-Dec-99,1533374,Djibouti,Djibouti,DJI,Athletics,Women's 5000m,Athlete,Female,HASSAN NOUR Samiyah,25,1,0
18-24,04-Apr-04,1533378,Djibouti,Djibouti,DJI,Swimming,Men's 50m Freestyle,Athlete,Male,HOUSSEIN BARKAT Houmed,20,0,1
25-30,29-Nov-97,1535180,Comoros,Comoros,COM,Canoe Slalom,"Men's Kayak Single"", ""Men's Kayak Cross",Athlete,Male,BARAT Andy,27,0,1
18-24,17-Mar-01,1535186,Mexico,Mexico,MEX,Boxing,Men's 63.5kg,Athlete,Male,MARTINEZ RAMIREZ Miguel Angel,23,0,1
18-24,11-Feb-02,1535187,Mexico,Mexico,MEX,Boxing,Men's 71kg,Athlete,Male,VERDE ALVAREZ Marco Alonso,22,0,1
